Código,Apartamento,Bairro,Zona,Quartos,Banheiros,Vagas,Metragem,Valor_da_Venda,valor_m2,media_valor_m2_bairro,media_valor_m2_zona
236759,Apartamento de 108m² com 03 suítes para locação e venda   Jardim Olhos d´agua,Jardim Olhos DAgua,Zona Sul,3,4,2,108.0,1000000.0,9259.25925925926,9706.16858313729,7019.92781217448
222119,Apartamento de 152m² com 03 suítes à venda   Nova Aliança,Nova Alianca,Zona Sul,3,5,2,152.0,1000000.0,6578.94736842105,7235.27815404702,7019.92781217448
217214,Apartamento de 109m² com 03 suítes à venda   Jardim Olhos D`Água,Plazas de Espana,Zona Sul,3,4,2,109.0,1000000.0,9174.3119266055,10740.3669724771,7019.92781217448
188555,Apartamento de 144m² com 03 suítes à venda   Jardim Botânico,Jardim Botanico,Zona Sul,3,5,2,144.0,1000000.0,6944.44444444444,7403.36272123417,7019.92781217448
152996,Apartamento de 117m² com 02 suítes á venda   Jardim Botânico,Jardim Botanico,Zona Sul,2,3,2,117.0,1000000.0,8547.00854700855,7403.36272123417,7019.92781217448
126275,Apartamento de 173m² com 03 quartos à venda   Centro,Centro,Centro,4,5,2,173.0,1000000.0,5780.34682080925,3969.0889863009,4114.37759196461
116618,Apartamento de 108m² com 03 suítes para locação e venda   Bosque das Juritis,Bosque das Juritis,Zona Sul,3,4,2,108.0,1000000.0,9259.25925925926,8028.33244392152,7019.92781217448
1475748,Apartamento de 135m² com 03 suítes à venda   Jardim Botânico,Jardim Botanico,Zona Sul,3,4,2,135.0,1000000.0,7407.40740740741,7403.36272123417,7019.92781217448
92237,Apartamento de 187m² com 04 quartos   Vila Seixas,Vila Seixas,Centro,5,5,3,187.0,1000000.0,5347.5935828877,4862.36131633665,4114.37759196461
69101,Apartamento de 143m² com 03 quartos à venda   Jardim Irajá,Jardim Iraja,Zona Sul,3,3,2,143.0,1000000.0,6993.00699300699,5843.60369977321,7019.92781217448
62645,Apartamento de 112m² com 03 quartos à venda   Bosque das Juritis,Bosque das Juritis,Zona Sul,3,3,2,112.0,1000000.0,8928.57142857143,8028.33244392152,7019.92781217448
210455,Apartamento de 369m² e 4 quartos à venda   Centro,Centro,Centro,4,6,3,369.0,1000000.0,2710.027100271,3969.0889863009,4114.37759196461
218282,Apartamento de 126m² com 03 suítes à venda   Residencial Alto do Ipê,Residencial Alto do Ipe,Zona Sul,3,4,3,126.0,1010000.0,8015.87301587302,8694.05961893228,7019.92781217448
224480,Apartamento de 126m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,4,2,126.0,1012490.0,8035.63492063492,9706.16858313729,7019.92781217448
139007,Apartamento de 134m² com 04 quartos à venda   Jardim Olhos D`Água II,Jardim Olhos DAgua,Zona Sul,4,3,2,134.0,1013175.0,7561.00746268657,9706.16858313729,7019.92781217448
175982,Apartamento de 367m² com 04 quartos à venda  ,Centro,Centro,4,5,2,367.0,1015000.0,2765.66757493188,3969.0889863009,4114.37759196461
200219,Apartamento de 134m² com 03 quartos à venda   Jardim Olhos D`Água II,Jardim Olhos DAgua,Zona Sul,3,4,2,134.0,1026000.0,7656.71641791045,9706.16858313729,7019.92781217448
243743,Apartamento de 121m² com 03 suítes à venda   Nova Aliança,Nova Alianca,Zona Sul,3,4,2,121.0,1030000.0,8512.39669421488,7235.27815404702,7019.92781217448
224483,Apartamento de 126m² com 03 suítes à venda   Jardim Olhos D`Água,Jardim Olhos DAgua,Zona Sul,3,4,4,126.0,1038561.0,8242.54761904762,9706.16858313729,7019.92781217448
